simulação,mês,faturamento mensal
89,Mês 01,79744.46
90,Mês 01,75322.99
91,Mês 01,76513.48
92,Mês 01,87276.30
93,Mês 01,91081.83
94,Mês 01,104034.16
95,Mês 01,79358.62
96,Mês 01,77024.36
97,Mês 01,73610.38
98,Mês 01,90225.70
99,Mês 01,63070.43
100,Mês 01,85500.52
101,Mês 01,81252.25
102,Mês 01,72815.93
103,Mês 01,78147.12
104,Mês 01,96777.01
105,Mês 01,82337.86
106,Mês 01,85583.27
107,Mês 01,69076.87
108,Mês 01,72140.11
109,Mês 01,89190.76
110,Mês 01,90858.96
111,Mês 01,80566.50
112,Mês 01,77865.57
113,Mês 01,89495.54
114,Mês 01,74537.56
115,Mês 01,75567.18
116,Mês 01,86779.26
117,Mês 01,100133.87
118,Mês 01,89960.48
119,Mês 01,80570.13
120,Mês 01,77787.46
121,Mês 01,86628.81
122,Mês 01,82407.53
123,Mês 01,74194.77
124,Mês 01,78790.52
125,Mês 01,64743.44
126,Mês 01,87783.61
127,Mês 01,72831.78
128,Mês 01,76277.93
129,Mês 01,85136.00
130,Mês 01,87660.80
131,Mês 01,79786.33
132,Mês 01,82935.58
133,Mês 01,84288.17
134,Mês 01,86191.54
135,Mês 01,83230.79
136,Mês 01,81132.70
137,Mês 01,73564.50
138,Mês 01,69376.06
139,Mês 01,81684.61
140,Mês 01,88406.20
141,Mês 01,84037.30
142,Mês 01,88712.97
143,Mês 01,84098.19
144,Mês 01,83319.80
145,Mês 01,83672.87
146,Mês 01,78955.51
147,Mês 01,73459.24
148,Mês 01,77539.38
149,Mês 01,73882.31
150,Mês 01,83191.75
151,Mês 01,99011.91
152,Mês 01,96122.21
153,Mês 01,81686.55
154,Mês 01,68562.74
155,Mês 01,89694.57
156,Mês 01,78656.91
157,Mês 01,76919.66
158,Mês 01,79735.94
159,Mês 01,77412.04
160,Mês 01,68060.75
161,Mês 01,60207.00
162,Mês 01,75346.90
163,Mês 01,86215.72
164,Mês 01,58643.26
165,Mês 01,78050.92
166,Mês 01,70283.43
167,Mês 01,91889.13
168,Mês 01,61063.85
169,Mês 01,77354.85
170,Mês 01,82096.59
171,Mês 01,73052.87
172,Mês 01,73418.84
173,Mês 01,82653.62
174,Mês 01,86157.71
175,Mês 01,75467.52
176,Mês 01,83764.10
177,Mês 01,80409.19
178,Mês 01,80224.66
179,Mês 01,81018.56
180,Mês 01,78967.45
181,Mês 01,68885.42
182,Mês 01,76801.52
183,Mês 01,57881.38
184,Mês 01,84258.87
185,Mês 01,76869.42
186,Mês 01,76416.60
187,Mês 01,60298.96
188,Mês 01,96172.13
189,Mês 01,88868.87
190,Mês 01,74958.20
191,Mês 01,62741.93
192,Mês 01,80853.18
193,Mês 01,99956.67
194,Mês 01,88389.41
195,Mês 01,86955.38
196,Mês 01,86988.28
197,Mês 01,86835.69
198,Mês 01,73707.37
199,Mês 01,76402.31
200,Mês 01,88901.98
201,Mês 01,72782.62
202,Mês 01,68774.55
203,Mês 01,64688.92
204,Mês 01,78685.27
205,Mês 01,72162.34
206,Mês 01,80759.55
207,Mês 01,72140.14
208,Mês 01,74504.43
209,Mês 01,77210.37
210,Mês 01,66489.26
211,Mês 01,81752.11
212,Mês 01,85555.13
213,Mês 01,104267.16
214,Mês 01,53642.52
215,Mês 01,88584.51
216,Mês 01,83721.05
217,Mês 01,79571.77
218,Mês 01,73756.55
219,Mês 01,72658.26
220,Mês 01,75569.56
221,Mês 01,98093.06
222,Mês 01,85107.92
223,Mês 01,84632.06
224,Mês 01,83496.50
225,Mês 01,87567.89
226,Mês 01,83868.09
227,Mês 01,84998.64
228,Mês 01,99625.87
229,Mês 01,76648.62
230,Mês 01,83863.23
231,Mês 01,86295.30
232,Mês 01,78232.26
233,Mês 01,75127.97
234,Mês 01,85731.28
235,Mês 01,89153.90
236,Mês 01,77211.17
237,Mês 01,95628.89
238,Mês 01,82167.76
239,Mês 01,72820.81
240,Mês 01,85348.17
241,Mês 01,57617.69
242,Mês 01,87682.07
243,Mês 01,64828.26
244,Mês 01,78244.36
245,Mês 01,95781.18
246,Mês 01,89965.71
247,Mês 01,84666.71
248,Mês 01,92230.83
249,Mês 01,92637.07
250,Mês 01,68697.96
251,Mês 01,60921.92
252,Mês 01,67128.36
253,Mês 01,61302.58
254,Mês 01,76574.51
255,Mês 01,84254.90
256,Mês 01,83174.53
257,Mês 01,82023.29
258,Mês 01,78141.54
259,Mês 01,90417.25
260,Mês 01,84506.03
261,Mês 01,75164.39
262,Mês 01,62687.99
263,Mês 01,84322.63
264,Mês 01,67625.73
265,Mês 01,79033.76
266,Mês 01,89784.22
267,Mês 01,102816.52
268,Mês 01,70476.84
269,Mês 01,63433.77
270,Mês 01,87793.49
271,Mês 01,80124.99
272,Mês 01,86386.60
273,Mês 01,86654.17
274,Mês 01,91701.99
275,Mês 01,73722.66
276,Mês 01,83385.53
277,Mês 01,100860.47
278,Mês 01,91038.77
279,Mês 01,66341.76
280,Mês 01,86789.31
281,Mês 01,68466.68
282,Mês 01,94509.28
283,Mês 01,91059.00
284,Mês 01,85055.89
285,Mês 01,77775.25
286,Mês 01,73926.46
287,Mês 01,85222.51
288,Mês 01,86954.02
289,Mês 01,90887.70
290,Mês 01,75454.52
291,Mês 01,76978.19
292,Mês 01,84961.99
293,Mês 01,74982.16
294,Mês 01,72044.43
295,Mês 01,61683.18
296,Mês 01,83308.51
297,Mês 01,83467.10
298,Mês 01,89583.86
299,Mês 01,71680.45
300,Mês 01,92395.84
301,Mês 01,71760.65
302,Mês 01,78209.07
303,Mês 01,98977.67
304,Mês 01,76608.78
305,Mês 01,87828.74
306,Mês 01,76399.61
307,Mês 01,68569.81
308,Mês 01,86030.95
309,Mês 01,74282.54
310,Mês 01,84240.67
311,Mês 01,89955.82
312,Mês 01,59815.12
313,Mês 01,70048.52
314,Mês 01,81034.38
315,Mês 01,86647.03
316,Mês 01,78496.80
317,Mês 01,82571.99
318,Mês 01,71072.12
319,Mês 01,76171.83
320,Mês 01,91818.91
321,Mês 01,73856.77
322,Mês 01,92960.63
323,Mês 01,76281.42
324,Mês 01,89500.16
325,Mês 01,81430.49
326,Mês 01,74438.81
327,Mês 01,90094.72
328,Mês 01,77373.40
329,Mês 01,92495.05
330,Mês 01,77200.07
331,Mês 01,72683.68
332,Mês 01,83475.62
333,Mês 01,82428.82
334,Mês 01,59221.88
335,Mês 01,75117.26
336,Mês 01,101699.37
337,Mês 01,68488.46
338,Mês 01,89324.35
339,Mês 01,94621.96
340,Mês 01,68107.68
341,Mês 01,86336.61
342,Mês 01,78865.19
343,Mês 01,79373.60
344,Mês 01,77573.01
345,Mês 01,72647.99
346,Mês 01,86188.86
347,Mês 01,80861.11
348,Mês 01,75672.26
349,Mês 01,79907.11
350,Mês 01,75833.75
351,Mês 01,82436.57
352,Mês 01,87978.44
353,Mês 01,66265.97
354,Mês 01,94350.87
355,Mês 01,84929.86
356,Mês 01,89976.32
357,Mês 01,66414.26
358,Mês 01,72209.07
359,Mês 01,69449.11
360,Mês 01,78030.78
361,Mês 01,79801.26
362,Mês 01,87547.33
363,Mês 01,73461.02
364,Mês 01,82270.34
365,Mês 01,73275.14
366,Mês 01,81571.28
367,Mês 01,83243.40
368,Mês 01,78748.26
369,Mês 01,82620.67
370,Mês 01,81024.85
371,Mês 01,66430.64
372,Mês 01,91496.72
373,Mês 01,74199.84
374,Mês 01,75388.30
375,Mês 01,88811.47
376,Mês 01,70412.22
377,Mês 01,74108.88
378,Mês 01,91801.28
379,Mês 01,82166.83
380,Mês 01,84105.50
381,Mês 01,69298.08
382,Mês 01,88089.19
383,Mês 01,78117.39
384,Mês 01,77224.56
385,Mês 01,86863.54
386,Mês 01,75463.64
387,Mês 01,83863.83
388,Mês 01,86373.25
389,Mês 01,76847.03
390,Mês 01,71438.30
391,Mês 01,77686.99
392,Mês 01,89513.06
393,Mês 01,85773.64
394,Mês 01,103883.72
395,Mês 01,95926.70
396,Mês 01,85188.71
397,Mês 01,77640.83
398,Mês 01,70055.71
399,Mês 01,79757.67
400,Mês 01,59096.97
401,Mês 01,85070.20
402,Mês 01,86594.51
403,Mês 01,79373.52
404,Mês 01,75315.04
405,Mês 01,74381.58
406,Mês 01,75242.05
407,Mês 01,67554.57
408,Mês 01,86324.54
409,Mês 01,63114.95
410,Mês 01,82678.44
411,Mês 01,96637.33
412,Mês 01,95344.82
413,Mês 01,97481.37
414,Mês 01,78043.01
415,Mês 01,77055.44
416,Mês 01,68020.34
417,Mês 01,78851.98
418,Mês 01,87328.29
419,Mês 01,58952.50
420,Mês 01,92880.76
421,Mês 01,84990.96
422,Mês 01,83416.60
423,Mês 01,87436.52
424,Mês 01,80412.87
425,Mês 01,80845.18
426,Mês 01,90287.69
427,Mês 01,79601.06
428,Mês 01,86891.64
429,Mês 01,84795.08
430,Mês 01,87466.11
431,Mês 01,82730.11
432,Mês 01,75853.73
433,Mês 01,90404.31
434,Mês 01,90294.41
435,Mês 01,69741.32
436,Mês 01,97847.75
437,Mês 01,69439.69
438,Mês 01,89720.57
439,Mês 01,75875.21
440,Mês 01,66641.38
441,Mês 01,73589.19
442,Mês 01,65038.41
443,Mês 01,77427.00
444,Mês 01,64899.59
445,Mês 01,84755.88
446,Mês 01,69461.65
447,Mês 01,81675.70
448,Mês 01,78097.59
449,Mês 01,105719.95
450,Mês 01,66692.95
451,Mês 01,68122.35
452,Mês 01,72358.13
453,Mês 01,78224.04
454,Mês 01,79429.59
455,Mês 01,83199.65
456,Mês 01,79634.10
457,Mês 01,76266.32
458,Mês 01,56156.93
459,Mês 01,78714.54
460,Mês 01,77728.94
461,Mês 01,72540.58
462,Mês 01,93155.08
463,Mês 01,76347.59
464,Mês 01,80755.76
465,Mês 01,82731.18
466,Mês 01,99002.68
467,Mês 01,72461.38
468,Mês 01,84187.60
469,Mês 01,78316.15
470,Mês 01,71891.06
471,Mês 01,87864.06
472,Mês 01,78690.74
473,Mês 01,75123.67
474,Mês 01,81796.22
475,Mês 01,67318.63
476,Mês 01,79745.06
477,Mês 01,88567.37
478,Mês 01,75520.39
479,Mês 01,85793.47
480,Mês 01,79821.05
481,Mês 01,80294.31
482,Mês 01,86975.87
483,Mês 01,78619.18
484,Mês 01,110982.99
485,Mês 01,107030.28
486,Mês 01,80337.19
487,Mês 01,68968.16
488,Mês 01,87209.97
489,Mês 01,57764.26
490,Mês 01,73465.37
491,Mês 01,55963.31
492,Mês 01,66009.22
493,Mês 01,71062.54
494,Mês 01,87978.51
495,Mês 01,91809.90
496,Mês 01,66791.22
497,Mês 01,72834.27
498,Mês 01,93680.79
499,Mês 01,96533.10
500,Mês 01,84349.41
501,Mês 01,68859.19
502,Mês 01,81996.10
503,Mês 01,76822.39
504,Mês 01,88625.43
505,Mês 01,66549.86
506,Mês 01,80493.28
507,Mês 01,81849.71
508,Mês 01,79048.88
509,Mês 01,68566.61
510,Mês 01,85342.08
511,Mês 01,78855.28
512,Mês 01,98686.03
513,Mês 01,85907.44
514,Mês 01,78414.62
515,Mês 01,78380.45
516,Mês 01,89641.56
517,Mês 01,73262.10
518,Mês 01,68379.34
519,Mês 01,80122.24
520,Mês 01,88293.24
521,Mês 01,77834.77
522,Mês 01,106378.82
523,Mês 01,73996.14
524,Mês 01,89102.16
525,Mês 01,94488.20
526,Mês 01,77784.00
527,Mês 01,67604.12
528,Mês 01,75084.38
529,Mês 01,86909.11
530,Mês 01,68305.19
531,Mês 01,88983.60
532,Mês 01,91188.95
533,Mês 01,84394.53
534,Mês 01,81168.30
535,Mês 01,75622.63
536,Mês 01,68629.67
537,Mês 01,65184.19
538,Mês 01,87841.46
539,Mês 01,68180.18
540,Mês 01,85306.83
541,Mês 01,86932.18
542,Mês 01,89579.94
543,Mês 01,90653.76
544,Mês 01,96923.47
545,Mês 01,80196.00
546,Mês 01,82800.45
547,Mês 01,83973.97
548,Mês 01,79781.43
549,Mês 01,73915.06
550,Mês 01,71199.88
551,Mês 01,67105.19
552,Mês 01,67738.21
553,Mês 01,73454.66
554,Mês 01,83824.33
555,Mês 01,91062.32
556,Mês 01,88331.58
557,Mês 01,83690.16
558,Mês 01,80161.25
559,Mês 01,89970.59
560,Mês 01,94622.55
561,Mês 01,85682.73
562,Mês 01,81472.98
563,Mês 01,69986.85
564,Mês 01,83461.17
565,Mês 01,96505.73
566,Mês 01,92019.32
567,Mês 01,88900.58
568,Mês 01,71360.20
569,Mês 01,60354.64
570,Mês 01,78271.54
571,Mês 01,73637.76
572,Mês 01,80321.43
573,Mês 01,79884.85
574,Mês 01,85510.17
575,Mês 01,73667.27
576,Mês 01,89468.08
577,Mês 01,73134.61
578,Mês 01,59676.46
579,Mês 01,94465.63
580,Mês 01,76322.15
581,Mês 01,91166.81
582,Mês 01,99120.05
583,Mês 01,67458.39
584,Mês 01,87690.32
585,Mês 01,93465.72
586,Mês 01,100487.08
587,Mês 01,85009.17
588,Mês 01,87979.75
589,Mês 01,77296.33
590,Mês 01,96056.20
591,Mês 01,83429.26
592,Mês 01,65394.99
593,Mês 01,86332.25
594,Mês 01,97531.95
595,Mês 01,81934.49
596,Mês 01,47789.84
597,Mês 01,71233.03
598,Mês 01,72576.14
599,Mês 01,91870.78
600,Mês 01,77168.48
601,Mês 01,81396.52
602,Mês 01,67090.58
603,Mês 01,79879.56
604,Mês 01,77429.48
605,Mês 01,60826.51
606,Mês 01,99836.34
607,Mês 01,89049.62
608,Mês 01,92497.10
609,Mês 01,71753.88
610,Mês 01,69498.13
611,Mês 01,86353.29
612,Mês 01,103692.87
613,Mês 01,75486.97
614,Mês 01,83061.35
615,Mês 01,67141.36
616,Mês 01,89316.66
617,Mês 01,66922.23
618,Mês 01,72278.08
619,Mês 01,87820.27
620,Mês 01,82023.83
621,Mês 01,97649.14
622,Mês 01,69366.46
623,Mês 01,101112.96
624,Mês 01,57544.14
625,Mês 01,82506.28
626,Mês 01,97256.94
627,Mês 01,82172.08
628,Mês 01,79268.93
629,Mês 01,75685.44
630,Mês 01,87399.44
631,Mês 01,64673.16
632,Mês 01,73598.46
633,Mês 01,86625.36
634,Mês 01,64270.11
635,Mês 01,76245.93
636,Mês 01,71977.28
637,Mês 01,89653.27
638,Mês 01,89453.12
639,Mês 01,95199.52
640,Mês 01,79959.27
641,Mês 01,85327.83
642,Mês 01,94930.03
643,Mês 01,72382.40
644,Mês 01,72859.35
645,Mês 01,83726.48
646,Mês 01,87094.11
647,Mês 01,88100.27
648,Mês 01,94678.50
649,Mês 01,90400.58
650,Mês 01,79421.63
651,Mês 01,71664.02
652,Mês 01,81551.55
653,Mês 01,89625.03
654,Mês 01,87034.92
655,Mês 01,73493.43
656,Mês 01,100541.94
657,Mês 01,108652.12
658,Mês 01,81415.96
659,Mês 01,93304.32
660,Mês 01,87728.48
661,Mês 01,93106.06
662,Mês 01,78253.52
663,Mês 01,84115.66
664,Mês 01,79587.52
665,Mês 01,75952.05
666,Mês 01,70710.74
667,Mês 01,96389.61
668,Mês 01,92778.57
669,Mês 01,72670.74
670,Mês 01,63748.79
671,Mês 01,77976.61
672,Mês 01,75763.09
673,Mês 01,71185.66
674,Mês 01,79173.02
675,Mês 01,84403.54
676,Mês 01,56039.18
677,Mês 01,62431.31
678,Mês 01,76665.14
679,Mês 01,70914.97
680,Mês 01,82637.56
681,Mês 01,78582.91
682,Mês 01,82625.03
683,Mês 01,80538.97
684,Mês 01,86436.69
685,Mês 01,69222.79
686,Mês 01,63477.57
687,Mês 01,59553.71
688,Mês 01,72948.89
689,Mês 01,91216.89
690,Mês 01,72492.80
691,Mês 01,76833.20
692,Mês 01,88049.33
693,Mês 01,88314.99
694,Mês 01,78122.73
695,Mês 01,80565.11
696,Mês 01,80873.91
697,Mês 01,84287.61
698,Mês 01,88775.48
699,Mês 01,66355.29
700,Mês 01,74107.46
701,Mês 01,82338.65
702,Mês 01,69421.63
703,Mês 01,86134.60
704,Mês 01,81576.35
705,Mês 01,72134.28
706,Mês 01,72495.90
707,Mês 01,73416.17
708,Mês 01,99837.04
709,Mês 01,85354.59
710,Mês 01,73996.61
711,Mês 01,77663.93
712,Mês 01,84800.64
713,Mês 01,80607.85
714,Mês 01,76475.46
715,Mês 01,84458.39
716,Mês 01,81739.47
717,Mês 01,99358.61
718,Mês 01,86132.66
719,Mês 01,65027.68
720,Mês 01,86469.05
721,Mês 01,96170.45
722,Mês 01,85628.54
723,Mês 01,76751.42
724,Mês 01,82074.89
725,Mês 01,100372.11
726,Mês 01,95920.25
727,Mês 01,68321.35
728,Mês 01,78616.65
729,Mês 01,82071.39
730,Mês 01,60454.07
731,Mês 01,89714.12
732,Mês 01,72119.52
733,Mês 01,67960.86
734,Mês 01,74859.11
735,Mês 01,84872.18
736,Mês 01,83808.26
737,Mês 01,75133.24
738,Mês 01,84352.12
739,Mês 01,82078.61
740,Mês 01,80445.52
741,Mês 01,58435.55
742,Mês 01,70641.69
743,Mês 01,75761.66
744,Mês 01,97629.80
745,Mês 01,69956.62
746,Mês 01,94152.05
747,Mês 01,70615.33
748,Mês 01,86670.65
749,Mês 01,83070.39
750,Mês 01,95245.17
751,Mês 01,87654.02
752,Mês 01,54791.53
753,Mês 01,80472.99
754,Mês 01,80330.23
755,Mês 01,78066.59
756,Mês 01,78978.97
757,Mês 01,64023.80
758,Mês 01,93755.97
759,Mês 01,67371.35
760,Mês 01,95323.80
761,Mês 01,58080.21
762,Mês 01,82440.98
763,Mês 01,75709.63
764,Mês 01,83128.22
765,Mês 01,82726.34
766,Mês 01,79048.52
767,Mês 01,86180.68
768,Mês 01,68791.03
769,Mês 01,92065.36
770,Mês 01,62319.43
771,Mês 01,87819.43
772,Mês 01,75648.61
773,Mês 01,70668.81
774,Mês 01,75754.02
775,Mês 01,80201.21
776,Mês 01,84212.47
777,Mês 01,90781.25
778,Mês 01,65544.82
779,Mês 01,93914.58
780,Mês 01,86092.39
781,Mês 01,94239.54
782,Mês 01,74100.85
783,Mês 01,72768.32
784,Mês 01,86369.08
785,Mês 01,76105.96
786,Mês 01,82921.49
787,Mês 01,77181.55
788,Mês 01,94341.77
789,Mês 01,87813.58
790,Mês 01,73151.88
791,Mês 01,85838.37
792,Mês 01,75673.40
793,Mês 01,98480.40
794,Mês 01,98478.67
795,Mês 01,81756.04
796,Mês 01,83286.44
797,Mês 01,85558.26
798,Mês 01,84700.14
799,Mês 01,63897.37
800,Mês 01,59408.40
801,Mês 01,58024.99
802,Mês 01,75007.52
803,Mês 01,67729.86
804,Mês 01,79237.61
805,Mês 01,83149.72
806,Mês 01,79480.45
807,Mês 01,69727.48
808,Mês 01,72201.93
809,Mês 01,81239.07
810,Mês 01,66550.72
811,Mês 01,76753.80
812,Mês 01,92696.13
813,Mês 01,85724.71
814,Mês 01,87735.58
815,Mês 01,87032.54
816,Mês 01,75423.23
817,Mês 01,81803.05
818,Mês 01,88225.73
819,Mês 01,81143.09
820,Mês 01,85225.21
821,Mês 01,68931.30
822,Mês 01,86867.74
823,Mês 01,81155.97
824,Mês 01,98961.23
825,Mês 01,82559.77
826,Mês 01,89346.55
827,Mês 01,72821.47
828,Mês 01,80466.37
829,Mês 01,83120.62
830,Mês 01,78019.26
831,Mês 01,69293.34
832,Mês 01,88452.73
833,Mês 01,68070.27
834,Mês 01,60016.55
835,Mês 01,71523.73
836,Mês 01,95448.41
837,Mês 01,85043.65
838,Mês 01,71717.06
839,Mês 01,77774.25
840,Mês 01,82156.69
841,Mês 01,98486.63
842,Mês 01,55418.31
843,Mês 01,71417.84
844,Mês 01,84445.92
845,Mês 01,81661.41
846,Mês 01,78213.19
847,Mês 01,75430.08
848,Mês 01,55232.08
849,Mês 01,79220.77
850,Mês 01,82335.95
851,Mês 01,82917.33
852,Mês 01,86694.38
853,Mês 01,92746.53
854,Mês 01,91615.03
855,Mês 01,87990.68
856,Mês 01,80403.08
857,Mês 01,99687.57
858,Mês 01,81214.79
859,Mês 01,56442.97
860,Mês 01,78453.10
861,Mês 01,82520.04
862,Mês 01,98955.07
863,Mês 01,86174.29
864,Mês 01,84998.22
865,Mês 01,66305.36
866,Mês 01,103491.09
867,Mês 01,90896.30
868,Mês 01,75784.18
869,Mês 01,92724.28
870,Mês 01,91064.62
871,Mês 01,76816.99
872,Mês 01,89156.54
873,Mês 01,77321.01
874,Mês 01,70060.79
875,Mês 01,70142.67
876,Mês 01,95413.21
877,Mês 01,79048.75
878,Mês 01,82284.82
879,Mês 01,90974.85
880,Mês 01,76125.09
881,Mês 01,75615.73
882,Mês 01,67915.18
883,Mês 01,71579.01
884,Mês 01,84995.59
885,Mês 01,91346.40
886,Mês 01,75788.70
887,Mês 01,76682.21
888,Mês 01,72122.78
889,Mês 01,94340.01
890,Mês 01,80657.85
891,Mês 01,71675.23
892,Mês 01,90685.50
893,Mês 01,85881.57
894,Mês 01,80462.12
895,Mês 01,57087.07
896,Mês 01,89719.30
897,Mês 01,57515.03
898,Mês 01,95564.16
899,Mês 01,64277.69
900,Mês 01,62579.18
901,Mês 01,74321.92
902,Mês 01,78998.27
903,Mês 01,68847.53
904,Mês 01,73107.23
905,Mês 01,77178.75
906,Mês 01,78503.64
907,Mês 01,86887.13
908,Mês 01,88656.75
909,Mês 01,64894.54
910,Mês 01,74569.78
911,Mês 01,96253.30
912,Mês 01,68340.26
913,Mês 01,89177.72
914,Mês 01,58464.12
915,Mês 01,86102.35
916,Mês 01,56575.22
917,Mês 01,74053.27
918,Mês 01,90844.78
919,Mês 01,78255.56
920,Mês 01,83651.69
921,Mês 01,74939.11
922,Mês 01,83871.48
923,Mês 01,92710.30
924,Mês 01,74470.76
925,Mês 01,50530.96
926,Mês 01,83708.68
927,Mês 01,80328.63
928,Mês 01,90608.00
929,Mês 01,70406.45
930,Mês 01,67226.29
931,Mês 01,93250.05
932,Mês 01,68141.85
933,Mês 01,75337.73
934,Mês 01,60871.49
935,Mês 01,84868.42
936,Mês 01,70769.28
937,Mês 01,81926.19
938,Mês 01,92972.98
939,Mês 01,52705.96
940,Mês 01,90945.62
941,Mês 01,101353.21
942,Mês 01,91772.09
943,Mês 01,70071.31
944,Mês 01,89067.84
945,Mês 01,72032.19
946,Mês 01,79216.69
947,Mês 01,95542.82
948,Mês 01,77733.38
949,Mês 01,79916.39
950,Mês 01,86051.33
951,Mês 01,78408.51
952,Mês 01,84021.98
953,Mês 01,68465.17
954,Mês 01,78128.34
955,Mês 01,89610.93
956,Mês 01,85884.36
957,Mês 01,68372.90
958,Mês 01,74072.01
959,Mês 01,75245.15
960,Mês 01,91850.07
961,Mês 01,93163.45
962,Mês 01,73697.68
963,Mês 01,81860.93
964,Mês 01,84226.29
965,Mês 01,85698.76
966,Mês 01,78694.25
967,Mês 01,103330.16
968,Mês 01,74557.26
969,Mês 01,76505.75
970,Mês 01,105083.06
971,Mês 01,83672.00
972,Mês 01,82669.76
973,Mês 01,81014.23
974,Mês 01,80167.01
975,Mês 01,76955.42
976,Mês 01,86037.33
977,Mês 01,91407.86
978,Mês 01,94338.84
979,Mês 01,76600.16
980,Mês 01,82997.95
981,Mês 01,80682.07
982,Mês 01,85790.62
983,Mês 01,68636.25
984,Mês 01,61337.54
985,Mês 01,90733.67
986,Mês 01,74538.34
987,Mês 01,84331.84
988,Mês 01,80714.21
989,Mês 01,77626.88
990,Mês 01,83369.03
991,Mês 01,80833.45
992,Mês 01,70873.21
993,Mês 01,77573.34
994,Mês 01,87738.77
995,Mês 01,73888.11
996,Mês 01,89845.93
997,Mês 01,75976.90
998,Mês 01,71749.03
999,Mês 01,82034.82
1000,Mês 01,105460.55
1001,Mês 01,91748.14
1002,Mês 01,73534.72
1003,Mês 01,89661.47
1004,Mês 01,77380.55
1005,Mês 01,90175.31
1006,Mês 01,74229.96
1007,Mês 01,82940.16
1008,Mês 01,71952.48
1009,Mês 01,93451.17
1010,Mês 01,81112.23
1011,Mês 01,89454.97
1012,Mês 01,69570.72
1013,Mês 01,76474.07
1014,Mês 01,81060.73
1015,Mês 01,79241.01
1016,Mês 01,80005.39
1017,Mês 01,82608.66
1018,Mês 01,94812.37
1019,Mês 01,76292.29
1020,Mês 01,89669.17
1021,Mês 01,69133.64
1022,Mês 01,103683.35
1023,Mês 01,64930.78
1024,Mês 01,77844.32
1025,Mês 01,76677.27
1026,Mês 01,82270.63
1027,Mês 01,71614.19
1028,Mês 01,89497.00
1029,Mês 01,76953.77
1030,Mês 01,73432.90
1031,Mês 01,95401.08
1032,Mês 01,85379.76
1033,Mês 01,76049.33
1034,Mês 01,97845.59
1035,Mês 01,71636.61
1036,Mês 01,70451.31
1037,Mês 01,63899.78
1038,Mês 01,71460.80
1039,Mês 01,88747.40
1040,Mês 01,95262.16
1041,Mês 01,77631.48
1042,Mês 01,69104.87
1043,Mês 01,78614.99
1044,Mês 01,84857.47
1045,Mês 01,87520.46
1046,Mês 01,71408.96
1047,Mês 01,85237.28
1048,Mês 01,68972.24
1049,Mês 01,95591.82
1050,Mês 01,63933.97
1051,Mês 01,92521.59
1052,Mês 01,64714.12
1053,Mês 01,56640.69
1054,Mês 01,90359.16
1055,Mês 01,62048.71
1056,Mês 01,75999.43
1057,Mês 01,76893.71
1058,Mês 01,71064.19
1059,Mês 01,94232.65
1060,Mês 01,112841.18
1061,Mês 01,66399.76
1062,Mês 01,65427.01
1063,Mês 01,83066.97
1064,Mês 01,84219.69
1065,Mês 01,77565.94
1066,Mês 01,91408.96
1067,Mês 01,96826.48
1068,Mês 01,70396.47
1069,Mês 01,80963.77
